,n_estimators,min_samples_split,max_features,max_depth,criterion,bootstrap,accuracy
0,10,4,sqrt,10,entropy,True,0.7125736026357236
1,10,4,sqrt,10,entropy,False,0.715956914193572
2,10,4,sqrt,10,gini,True,0.7067551614345688
3,10,4,sqrt,10,gini,False,0.7167142448319146
4,10,4,sqrt,40,entropy,True,0.7455044603119776
5,10,4,sqrt,40,entropy,False,0.7460128056727152
6,10,4,sqrt,40,gini,True,0.7435407288179054
7,10,4,sqrt,40,gini,False,0.7443575724802965
8,10,4,log2,10,entropy,True,0.7154350646494818
9,10,4,log2,10,entropy,False,0.7134019970763696
10,10,4,log2,10,gini,True,0.710668056394106
11,10,4,log2,10,gini,False,0.7154786494615708
12,10,4,log2,40,entropy,True,0.7436256471089977
13,10,4,log2,40,entropy,False,0.7458333584752193
14,10,4,log2,40,gini,True,0.7486114881948185
15,10,4,log2,40,gini,False,0.7438734753229365
16,10,20,sqrt,10,entropy,True,0.7097638014057489
17,10,20,sqrt,10,entropy,False,0.7212098675784925
18,10,20,sqrt,10,gini,True,0.702797874236944
19,10,20,sqrt,10,gini,False,0.7080120792916306
20,10,20,sqrt,40,entropy,True,0.743061517156046
21,10,20,sqrt,40,entropy,False,0.7509146769626774
22,10,20,sqrt,40,gini,True,0.7404537523317816
23,10,20,sqrt,40,gini,False,0.7513531140781187
24,10,20,log2,10,entropy,True,0.7128922965526507
25,10,20,log2,10,entropy,False,0.7104494061446033
26,10,20,log2,10,gini,True,0.7026603664722298
27,10,20,log2,10,gini,False,0.7105103908176523
28,10,20,log2,40,entropy,True,0.7450454830486991
29,10,20,log2,40,entropy,False,0.7509432637016896
30,10,20,log2,40,gini,True,0.7415974815273985
31,10,20,log2,40,gini,False,0.7456683086904172
32,100,4,sqrt,10,entropy,True,0.7304526640634952
33,100,4,sqrt,10,entropy,False,0.7298694379196601
34,100,4,sqrt,10,gini,True,0.7272720601870133
35,100,4,sqrt,10,gini,False,0.7293562563617477
36,100,4,sqrt,40,entropy,True,0.7641846084936504
37,100,4,sqrt,40,entropy,False,0.7576305686147473
38,100,4,sqrt,40,gini,True,0.7640102374842768
39,100,4,sqrt,40,gini,False,0.7611773401097245
40,100,4,log2,10,entropy,True,0.7305802533418075
41,100,4,log2,10,entropy,False,0.7305603436692533
42,100,4,log2,10,gini,True,0.7289226812390079
43,100,4,log2,10,gini,False,0.728289685403824
44,100,4,log2,40,entropy,True,0.7663994718315718
45,100,4,log2,40,entropy,False,0.756017730824874
46,100,4,log2,40,gini,True,0.765945679399745
47,100,4,log2,40,gini,False,0.7568010577696849
48,100,20,sqrt,10,entropy,True,0.7239715087356695
49,100,20,sqrt,10,entropy,False,0.7273859317747409
50,100,20,sqrt,10,gini,True,0.7235287640282799
51,100,20,sqrt,10,gini,False,0.7241162465160562
52,100,20,sqrt,40,entropy,True,0.7590344712480107
53,100,20,sqrt,40,entropy,False,0.761374816769784
54,100,20,sqrt,40,gini,True,0.7581216992923759
55,100,20,sqrt,40,gini,False,0.761921468736464
56,100,20,log2,10,entropy,True,0.7240169346866157
57,100,20,log2,10,entropy,False,0.7263089735154286
58,100,20,log2,10,gini,True,0.7210100804762204
59,100,20,log2,10,gini,False,0.7228102843892816
60,100,20,log2,40,entropy,True,0.7593214993779458
61,100,20,log2,40,entropy,False,0.7592549510939648
62,100,20,log2,40,gini,True,0.7579621360523332
63,100,20,log2,40,gini,False,0.7621588981077212
